Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Kenya,KEN,2015,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor  (preT),per_allsp.adq_ep_preT_tot,12.37366038
Kenya,KEN,2005,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor  (preT),per_allsp.adq_ep_preT_tot,50.80305731
Kenya,KEN,2015,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor,per_allsp.adq_ep_tot,9.616567937
Kenya,KEN,2005,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor,per_allsp.adq_ep_tot,6.551053443
Kenya,KEN,2015,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,5.927104111
Kenya,KEN,2005,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,18.88157521
Kenya,KEN,2015,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,7.355202205
Kenya,KEN,2005,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,13.60262604
Kenya,KEN,2015,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,4.379874078
Kenya,KEN,2005,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,31.24267591
Kenya,KEN,2015,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q1_preT_tot,13.88941175
Kenya,KEN,2005,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q1_preT_tot,63.50186233
Kenya,KEN,2015,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q1_rur,10.93633369
Kenya,KEN,2005,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q1_rur,6.498207904
Kenya,KEN,2015,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.adq_q1_tot,10.17681117
Kenya,KEN,2005,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.adq_q1_tot,6.976802339
Kenya,KEN,2015,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q1_urb,8.048988941
Kenya,KEN,2005,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q1_urb,8.314603718
Kenya,KEN,2015,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q2_preT_tot,7.728238925
Kenya,KEN,2005,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q2_preT_tot,6.783746863
Kenya,KEN,2015,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q2_rur,8.127722479
Kenya,KEN,2005,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q2_rur,7.666462509
Kenya,KEN,2015,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor,per_allsp.adq_q2_tot,7.640581539
Kenya,KEN,2005,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor,per_allsp.adq_q2_tot,6.316176837
Kenya,KEN,2015,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q2_urb,7.101173172
Kenya,KEN,2005,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q2_urb,7.191214315
Kenya,KEN,2015,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q3_preT_tot,6.017153251
Kenya,KEN,2005,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q3_preT_tot,9.502585267
Kenya,KEN,2015,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q3_rur,8.304252391
Kenya,KEN,2005,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q3_rur,6.907892729
Kenya,KEN,2015,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor,per_allsp.adq_q3_tot,7.250461313
Kenya,KEN,2005,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor,per_allsp.adq_q3_tot,12.72674742
Kenya,KEN,2015,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q3_urb,4.958160252
Kenya,KEN,2005,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q3_urb,15.92340527
Kenya,KEN,2015,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q4_preT_tot,5.033194799
Kenya,KEN,2005,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q4_preT_tot,11.47148451
Kenya,KEN,2015,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q4_rur,6.468836913
Kenya,KEN,2005,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q4_rur,14.41902795
Kenya,KEN,2015,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor,per_allsp.adq_q4_tot,6.23428212
Kenya,KEN,2005,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor,per_allsp.adq_q4_tot,18.81500529
Kenya,KEN,2015,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q4_urb,2.99829582
Kenya,KEN,2005,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q4_urb,88.1255358
Kenya,KEN,2015,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q5_preT_tot,3.844516066
Kenya,KEN,2005,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q5_preT_tot,16.07472898
Kenya,KEN,2015,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q5_rur,6.301621908
Kenya,KEN,2005,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q5_rur,20.34409078
Kenya,KEN,2015,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor,per_allsp.adq_q5_tot,4.114301927
Kenya,KEN,2005,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor,per_allsp.adq_q5_tot,27.67923914
Kenya,KEN,2015,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q5_urb,3.589457415
Kenya,KEN,2005,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q5_urb,23.1652964
Kenya,KEN,2015,Average per capita transfer held by extreme poor (<$2.15 a day) -All Social Protection and Labor  (preT),per_allsp.avt_ep_preT_tot,0.067922216
Kenya,KEN,2005,Average per capita transfer held by extreme poor (<$2.15 a day) -All Social Protection and Labor  (preT),per_allsp.avt_ep_preT_tot,0.574788538
Kenya,KEN,2015,Average per capita transfer held by extreme poor (<$2.15 a day) -All Social Protection and Labor,per_allsp.avt_ep_tot,0.044852404
Kenya,KEN,2005,Average per capita transfer held by extreme poor (<$2.15 a day) -All Social Protection and Labor,per_allsp.avt_ep_tot,0.061149722
Kenya,KEN,2015,Average per capita transfer -All Social Protection and Labor (preT),per_allsp.avt_pop_preT_tot,0.072603422
Kenya,KEN,2005,Average per capita transfer -All Social Protection and Labor (preT),per_allsp.avt_pop_preT_tot,0.539210699
Kenya,KEN,2015,Average per capita transfer -All Social Protection and Labor -rural,per_allsp.avt_pop_rur,0.069614047
Kenya,KEN,2005,Average per capita transfer -All Social Protection and Labor -rural,per_allsp.avt_pop_rur,0.304148011
Kenya,KEN,2015,Average per capita transfer -All Social Protection and Labor,per_allsp.avt_pop_tot,0.072603422
Kenya,KEN,2005,Average per capita transfer -All Social Protection and Labor,per_allsp.avt_pop_tot,0.539210699
Kenya,KEN,2015,Average per capita transfer -All Social Protection and Labor -urban,per_allsp.avt_pop_urb,0.078756613
Kenya,KEN,2005,Average per capita transfer -All Social Protection and Labor -urban,per_allsp.avt_pop_urb,2.542504473
Kenya,KEN,2015,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor (preT),per_allsp.avt_q1_preT_tot,0.0683861
Kenya,KEN,2005,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor (preT),per_allsp.avt_q1_preT_tot,0.670915243
